year,pass_car_actual,pass_car_standard,light_truck_actual,light_truck_standard
1985,27.6,27.5,20.7,19.5
1990,28,27.5,20.8,20
1991,28.4,27.5,21.3,20.2
1992,27.9,27.5,20.8,20.2
1993,28.4,27.5,21,20.4
1994,28.3,27.5,20.8,20.5
1995,28.6,27.5,20.5,20.6
1996,28.5,27.5,20.8,20.7
1997,28.7,27.5,20.6,20.7
1998,28.8,27.5,21,20.7
1999,28.3,27.5,20.9,20.7
2000,28.5,27.5,21.3,20.7
2001,28.8,27.5,20.9,20.7
2002,29,27.5,21.4,20.7
2003,29.5,27.5,21.8,20.7
2004,29.5,27.5,21.5,20.7
2005,30.3,27.5,22.1,21
2006,30.1,27.5,22.5,21.6
2007,31.2,27.5,23.1,22.2
2008,31.5,27.5,23.6,22.5
2009,32.9,27.5,24.8,23.1
2010,33.9,27.5,25.2,23.5
2011,33.1,30.2,24.7,24.3
2012,35.2,32.7,25,25.2
2013,36,33.5,25.3,25.7
